sentence_id,goal,gloss,token_count,tokens_json,source_clips_json,output_video,fps,frame_count,width,height,source_frame_counts_json,grammar_note
sentence_040,描述狀態,FATHER TIRED,2,"[""father"", ""tired""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\father\\21219.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tired\\58590.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_040__father_tired.mp4,29.97,166,480,320,"[79, 85]",狀態句省略 be 動詞。
sentence_041,描述狀態,YOU TIRED,2,"[""you"", ""tired""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64387.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tired\\58589.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_041__you_tired.mp4,29.97,206,480,320,"[105, 99]",狀態句省略 be 動詞。
sentence_042,描述狀態,I HAPPY,2,"[""i"", ""happy""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\i\\28790.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\happy\\70284.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_042__i_happy.mp4,27.49,149,480,320,"[53, 94]",狀態句省略 be 動詞。
sentence_043,描述狀態,TEACHER SAD,2,"[""teacher"", ""sad""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\teacher\\57047.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\sad\\48973.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_043__teacher_sad.mp4,26.97,144,480,320,"[106, 36]",狀態句省略 be 動詞。
sentence_044,描述狀態,STUDENT HAPPY,2,"[""student"", ""happy""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55338.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\happy\\26530.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_044__student_happy.mp4,29.97,136,480,320,"[69, 65]",狀態句省略 be 動詞。
sentence_045,描述狀態,MOTHER SAD,2,"[""mother"", ""sad""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36942.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\sad\\48972.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_045__mother_sad.mp4,29.97,159,480,320,"[81, 76]",狀態句省略 be 動詞。
sentence_046,描述狀態,FATHER HAPPY,2,"[""father"", ""happy""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\father\\21219.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\happy\\26534.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_046__father_happy.mp4,29.97,137,480,320,"[79, 56]",狀態句省略 be 動詞。
sentence_047,雙子句狀態,TEACHER HAPPY STUDENT TIRED,4,"[""teacher"", ""happy"", ""student"", ""tired""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\teacher\\57037.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\happy\\26535.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55341.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tired\\58596.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_047__teacher_happy_student_tired.mp4,28.73,319,480,320,"[53, 90, 75, 95]",將兩個短子句直接串接，模擬連續表達。
sentence_048,雙子句狀態,MOTHER HAPPY FATHER TIRED,4,"[""mother"", ""happy"", ""father"", ""tired""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36927.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\happy\\26524.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\father\\21212.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tired\\58592.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_048__mother_happy_father_tired.mp4,27.49,226,480,320,"[53, 74, 28, 65]",將兩個短子句直接串接，模擬連續表達。
sentence_049,雙子句狀態,TEACHER SAD STUDENT HAPPY,4,"[""teacher"", ""sad"", ""student"", ""happy""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\teacher\\57041.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\sad\\48965.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55339.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\happy\\26535.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_049__teacher_sad_student_happy.mp4,28.74,321,480,320,"[98, 60, 67, 90]",將兩個短子句直接串接，模擬連續表達。
sentence_050,雙子句狀態,MOTHER TIRED STUDENT HAPPY,4,"[""mother"", ""tired"", ""student"", ""happy""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36929.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tired\\58589.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55344.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\happy\\26524.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_050__mother_tired_student_happy.mp4,28.73,290,480,320,"[61, 99, 50, 74]",將兩個短子句直接串接，模擬連續表達。
